[rosmaster.master][INFO] 2017-01-25 11:36:24,814: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,817: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,820: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,823: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,826: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,828: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,939: +PUB [/camera/color/image_raw] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,057: +PUB [/camera/color/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,060: +SERVICE [/camera/color/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,063: +PUB [/camera/color/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,066: +PUB [/camera/color/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,078: +PARAM [/camera/color/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,082: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,085: +PARAM [/camera/color/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,088: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,091: +PARAM [/camera/color/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,094: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,097: +PARAM [/camera/color/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,101: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,105: +PUB [/camera/color/camera_info] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,207: +PUB [/camera/depth/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,210: +SERVICE [/camera/depth/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,213: +PUB [/camera/depth/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,217: +PUB [/camera/depth/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,227: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,230: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,233: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,236: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,239: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,242: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,335: +PUB [/camera/depth/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,339: +SERVICE [/camera/depth/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,342: +PUB [/camera/depth/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,345: +PUB [/camera/depth/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,356: +PARAM [/camera/depth/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,359: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,361: +PARAM [/camera/depth/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,364: +PARAM [/camera/depth/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,367: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,371: +PARAM [/camera/depth/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,465: +PUB [/camera/depth/image_raw] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,563: +PUB [/camera/depth/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,567: +SERVICE [/camera/depth/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,570: +PUB [/camera/depth/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,573: +PUB [/camera/depth/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:25,586: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,588: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,591: +PARAM [/camera/depth/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,593: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,597: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,600: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,603: +PARAM [/camera/depth/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:25,609: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
