[rosmaster.master][INFO] 2017-01-25 12:56:27,409: +SERVICE [/camera/color/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,414: +PUB [/camera/color/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,419: +PUB [/camera/color/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,428: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,431: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,434: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,437: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,440: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,443: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,541: +PUB [/camera/color/image_raw] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,653: +PUB [/camera/color/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,656: +SERVICE [/camera/color/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,659: +PUB [/camera/color/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,662: +PUB [/camera/color/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,674: +PARAM [/camera/color/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,677: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,680: +PARAM [/camera/color/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,683: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,686: +PARAM [/camera/color/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,688: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,691: +PARAM [/camera/color/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,694: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,697: +PUB [/camera/color/camera_info] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,788: +PUB [/camera/depth/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,791: +SERVICE [/camera/depth/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,794: +PUB [/camera/depth/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,797: +PUB [/camera/depth/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,807: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,810: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,812: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,815: +PARAM [/camera/depth/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,818: +PARAM [/camera/depth/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,821: +PARAM [/camera/depth/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,909: +PUB [/camera/depth/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,912: +SERVICE [/camera/depth/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,915: +PUB [/camera/depth/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,918: +PUB [/camera/depth/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,927: +PARAM [/camera/depth/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,930: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,933: +PARAM [/camera/depth/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,936: +PARAM [/camera/depth/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,939: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,941: +PARAM [/camera/depth/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,030: +PUB [/camera/depth/image_raw] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,122: +PUB [/camera/depth/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,126: +SERVICE [/camera/depth/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,131: +PUB [/camera/depth/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,134: +PUB [/camera/depth/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,147: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,150: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,153: +PARAM [/camera/depth/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,155: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,159: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,162: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,164: +PARAM [/camera/depth/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,167: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,170: +PUB [/camera/depth/camera_info] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,173: +PUB [/camera/depth/points] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,266: +PUB [/camera/ir/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,270: +SERVICE [/camera/ir/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,273: +PUB [/camera/ir/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,276: +PUB [/camera/ir/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,287: +PARAM [/camera/ir/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,289: +PARAM [/camera/ir/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,292: +PARAM [/camera/ir/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,295: +PARAM [/camera/ir/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,298: +PARAM [/camera/ir/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,301: +PARAM [/camera/ir/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,390: +PUB [/camera/ir/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,393: +SERVICE [/camera/ir/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,396: +PUB [/camera/ir/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,398: +PUB [/camera/ir/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,408: +PARAM [/camera/ir/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,411: +PARAM [/camera/ir/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,413: +PARAM [/camera/ir/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,416: +PARAM [/camera/ir/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,419: +PARAM [/camera/ir/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,422: +PARAM [/camera/ir/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,510: +PUB [/camera/ir/image_raw] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,601: +PUB [/camera/ir/image_raw/theora] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,604: +SERVICE [/camera/ir/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,609: +PUB [/camera/ir/image_raw/theora/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,615: +PUB [/camera/ir/image_raw/theora/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,631: +PARAM [/camera/ir/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,633: +PARAM [/camera/ir/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,636: +PARAM [/camera/ir/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,639: +PARAM [/camera/ir/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,641: +PARAM [/camera/ir/image_raw/theora/optimize_for] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,644: +PARAM [/camera/ir/image_raw/theora/target_bitrate] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,647: +PARAM [/camera/ir/image_raw/theora/quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,650: +PARAM [/camera/ir/image_raw/theora/keyframe_frequency] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,653: +PUB [/camera/ir/camera_info] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,748: +PUB [/camera/ir2/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,751: +SERVICE [/camera/ir2/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,754: +PUB [/camera/ir2/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,757: +PUB [/camera/ir2/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,767: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,770: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,773: +PARAM [/camera/ir2/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,776: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,779: +PARAM [/camera/ir2/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,782: +PARAM [/camera/ir2/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,872: +PUB [/camera/ir2/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,875: +SERVICE [/camera/ir2/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,879: +PUB [/camera/ir2/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,882: +PUB [/camera/ir2/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:28,892: +PARAM [/camera/ir2/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,894: +PARAM [/camera/ir2/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,897: +PARAM [/camera/ir2/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:28,900: +PARAM [/camera/ir2/image_raw/compressed/format] by /camera/nodelet_manager
